Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
9/6/2018 8:00:00 AM,True,False,64,64,76
9/7/2018 8:00:00 AM,True,False,56,56,76
9/8/2018 8:00:00 AM,True,True,76.5,67,86
9/9/2018 8:00:00 AM,True,True,80,74,86
9/10/2018 8:00:00 AM,True,False,67,67,86
9/11/2018 8:00:00 AM,True,False,63,63,86
9/12/2018 8:00:00 AM,True,True,75.5,60,91
9/13/2018 8:00:00 AM,True,True,72.5,54,91
9/14/2018 8:00:00 AM,True,True,68.5,67,70
9/15/2018 8:00:00 AM,True,True,82.5,77,88
9/16/2018 8:00:00 AM,True,True,84.5,81,88
9/17/2018 8:00:00 AM,True,False,80,80,88
9/18/2018 8:00:00 AM,True,False,78,78,88
9/20/2018 8:00:00 AM,True,False,66,66,88
9/21/2018 8:00:00 AM,True,True,60,56,64
9/22/2018 8:00:00 AM,True,True,69,74,64
9/23/2018 8:00:00 AM,True,True,74.5,66,83
9/24/2018 8:00:00 AM,True,True,73.5,64,83
9/25/2018 8:00:00 AM,True,False,62,62,83
9/26/2018 8:00:00 AM,True,True,83,74,92
9/27/2018 8:00:00 AM,True,True,63.5,59,68
9/28/2018 8:00:00 AM,True,True,70,64,76
9/29/2018 8:00:00 AM,True,True,71.5,67,76
10/1/2018 8:00:00 AM,True,True,82.5,76,89
10/2/2018 8:00:00 AM,True,True,70,68,72
10/3/2018 8:00:00 AM,True,True,149,137,161
10/4/2018 8:00:00 AM,True,True,76,72,80
10/5/2018 8:00:00 AM,True,True,79,73,85
10/6/2018 8:00:00 AM,True,True,77.5,74,81
10/7/2018 8:00:00 AM,True,True,76.5,75,78
10/8/2018 8:00:00 AM,True,True,78.5,75,82
10/9/2018 8:00:00 AM,True,True,71,70,72
10/10/2018 8:00:00 AM,True,True,73.5,74,73
10/11/2018 8:00:00 AM,True,True,67,68,66
10/12/2018 8:00:00 AM,True,True,78.5,74,83
10/13/2018 8:00:00 AM,True,True,76.5,81,72
10/14/2018 8:00:00 AM,True,True,80.5,75,86
10/15/2018 8:00:00 AM,True,True,140.5,201,80
10/16/2018 8:00:00 AM,True,True,72,72,72
10/17/2018 8:00:00 AM,True,True,85.5,91,80
10/18/2018 8:00:00 AM,True,True,69.5,73,66
10/19/2018 8:00:00 AM,True,True,69,68,70
10/20/2018 8:00:00 AM,True,True,77,77,77
10/21/2018 8:00:00 AM,True,True,80.5,78,83
10/22/2018 8:00:00 AM,True,True,74.5,74,75
10/23/2018 8:00:00 AM,True,True,73,69,77
10/24/2018 8:00:00 AM,True,True,77,74,80
10/25/2018 8:00:00 AM,True,True,67.5,69,66
10/26/2018 8:00:00 AM,True,True,75.5,81,70
10/27/2018 8:00:00 AM,True,True,78,75,81
10/28/2018 8:00:00 AM,True,True,67,62,72
10/29/2018 8:00:00 AM,True,True,69.5,64,75
10/30/2018 8:00:00 AM,True,True,85,86,84
10/31/2018 8:00:00 AM,True,True,70.5,74,67
11/1/2018 8:00:00 AM,True,True,73.5,70,77
11/2/2018 8:00:00 AM,True,True,65.5,64,67
11/3/2018 8:00:00 AM,True,True,75,72,78
11/4/2018 8:00:00 AM,True,True,75.5,76,75
11/5/2018 8:00:00 AM,True,True,76.5,76,77
11/6/2018 8:00:00 AM,True,True,69,66,72
11/7/2018 8:00:00 AM,True,True,70,66,74
11/10/2018 8:00:00 AM,True,True,83,94,72
11/11/2018 8:00:00 AM,True,True,76,76,76
11/12/2018 8:00:00 AM,True,True,81,82,80
11/13/2018 8:00:00 AM,True,True,77,81,73
11/14/2018 8:00:00 AM,True,True,70,71,69
11/15/2018 8:00:00 AM,True,True,71,72,70
11/16/2018 8:00:00 AM,True,True,78.5,79,78
11/17/2018 8:00:00 AM,True,True,75,75,75
11/18/2018 8:00:00 AM,True,True,89.5,77,102
11/19/2018 8:00:00 AM,True,True,72.5,77,68
11/23/2018 8:00:00 AM,True,True,76,73,79
11/24/2018 8:00:00 AM,True,True,70,76,64
11/25/2018 8:00:00 AM,True,True,70.5,69,72
11/26/2018 8:00:00 AM,True,True,84,80,88
11/27/2018 8:00:00 AM,True,True,75,72,78
11/28/2018 8:00:00 AM,True,True,83,76,90
11/29/2018 8:00:00 AM,True,True,79.5,77,82
11/30/2018 8:00:00 AM,True,True,74.5,78,71
12/1/2018 8:00:00 AM,True,True,74,72,76
12/2/2018 8:00:00 AM,True,True,81.5,78,85
12/3/2018 8:00:00 AM,True,True,68,67,69
12/4/2018 8:00:00 AM,True,True,132.5,95,170
12/5/2018 8:00:00 AM,True,True,86.5,95,78
12/6/2018 8:00:00 AM,False,True,112,95,112
12/7/2018 8:00:00 AM,False,True,82,95,82
12/9/2018 8:00:00 AM,True,True,90,96,84
12/10/2018 8:00:00 AM,True,True,71.5,78,65
12/11/2018 8:00:00 AM,True,True,79,78,80
12/12/2018 8:00:00 AM,True,True,72.5,73,72
12/13/2018 8:00:00 AM,True,True,76,73,79
12/14/2018 8:00:00 AM,True,True,82,83,81
12/15/2018 8:00:00 AM,True,True,82.5,78,87
12/16/2018 8:00:00 AM,True,True,85.5,83,88
12/17/2018 8:00:00 AM,True,True,67,61,73
12/19/2018 8:00:00 AM,True,True,86,80,92
12/20/2018 8:00:00 AM,True,True,82.5,80,85
12/21/2018 8:00:00 AM,False,True,74,80,74
12/22/2018 8:00:00 AM,False,True,76,80,76
12/23/2018 8:00:00 AM,True,True,88,97,79
12/25/2018 8:00:00 AM,True,True,80.5,77,84
12/26/2018 8:00:00 AM,True,True,71.5,67,76
12/27/2018 8:00:00 AM,True,True,74,67,81
12/28/2018 8:00:00 AM,False,True,78,67,78
12/29/2018 8:00:00 AM,False,True,84,67,84
12/30/2018 8:00:00 AM,False,True,78,67,78
1/1/2019 8:00:00 AM,True,True,105,98,112
1/2/2019 8:00:00 AM,True,True,79.5,83,76
1/3/2019 8:00:00 AM,True,True,83.5,85,82
1/4/2019 8:00:00 AM,True,True,66,68,64
1/5/2019 8:00:00 AM,True,True,81,82,80
1/6/2019 8:00:00 AM,True,True,82.5,81,84
1/7/2019 8:00:00 AM,True,True,81.5,81,82
1/8/2019 8:00:00 AM,True,True,80,80,80
1/9/2019 8:00:00 AM,True,True,75.5,78,73
1/10/2019 8:00:00 AM,True,True,86.5,83,90
1/11/2019 8:00:00 AM,True,True,73.5,71,76
1/12/2019 8:00:00 AM,True,True,74.5,71,78
1/13/2019 8:00:00 AM,False,True,85,71,85
1/14/2019 8:00:00 AM,False,True,78,71,78
1/15/2019 8:00:00 AM,False,True,76,71,76
1/16/2019 8:00:00 AM,False,True,82,71,82
1/17/2019 8:00:00 AM,True,True,88,91,85
1/18/2019 8:00:00 AM,True,True,70.5,72,69
1/19/2019 8:00:00 AM,True,True,85.5,84,87
1/20/2019 8:00:00 AM,True,True,83,82,84
1/21/2019 8:00:00 AM,True,True,76,74,78
1/22/2019 8:00:00 AM,True,True,81.5,82,81
1/23/2019 8:00:00 AM,True,True,78.5,77,80
1/24/2019 8:00:00 AM,True,True,68,74,62
1/25/2019 8:00:00 AM,True,True,77.5,74,81
1/26/2019 8:00:00 AM,False,True,87,74,87
1/27/2019 8:00:00 AM,False,True,86,74,86
1/28/2019 8:00:00 AM,False,True,78,74,78
1/29/2019 8:00:00 AM,True,True,84.5,88,81
1/30/2019 8:00:00 AM,True,True,87,88,86
1/31/2019 8:00:00 AM,False,True,82,88,82
2/1/2019 8:00:00 AM,True,True,74,76,72
2/2/2019 8:00:00 AM,True,True,82,80,84
2/3/2019 8:00:00 AM,True,True,76,65,87
2/4/2019 8:00:00 AM,True,True,85,80,90
2/5/2019 8:00:00 AM,True,True,81.5,82,81
2/6/2019 8:00:00 AM,True,True,88.5,82,95
2/8/2019 8:00:00 AM,False,True,103,82,103
2/9/2019 8:00:00 AM,True,True,93.5,99,88
2/10/2019 8:00:00 AM,True,True,99,99,99
2/11/2019 8:00:00 AM,False,True,86,99,86
2/12/2019 8:00:00 AM,False,True,96,99,96
2/13/2019 8:00:00 AM,True,True,72.5,73,72
2/14/2019 8:00:00 AM,True,True,80,78,82
2/15/2019 8:00:00 AM,True,True,69,71,67
2/16/2019 8:00:00 AM,True,True,86,89,83
2/18/2019 8:00:00 AM,True,True,93,94,92
2/19/2019 8:00:00 AM,True,True,84,94,74
2/20/2019 8:00:00 AM,True,True,93,94,92
2/21/2019 8:00:00 AM,True,True,74.5,76,73
2/22/2019 8:00:00 AM,True,True,85,76,94
2/23/2019 8:00:00 AM,False,True,77,76,77
2/24/2019 8:00:00 AM,True,True,89,94,84
2/25/2019 8:00:00 AM,True,True,91.5,94,89
2/26/2019 8:00:00 AM,False,True,78,94,78
2/27/2019 8:00:00 AM,True,True,82,88,76
2/28/2019 8:00:00 AM,True,True,83,74,92
3/1/2019 8:00:00 AM,True,True,69.5,63,76
3/2/2019 8:00:00 AM,True,True,81,84,78
3/3/2019 8:00:00 AM,True,True,83.5,80,87
3/4/2019 8:00:00 AM,True,True,90,90,90
3/5/2019 8:00:00 AM,True,True,83,82,84
3/6/2019 8:00:00 AM,True,True,92.5,92,93
3/7/2019 8:00:00 AM,True,True,74,76,72
3/8/2019 8:00:00 AM,True,True,84.5,88,81
3/9/2019 8:00:00 AM,True,True,80,81,79
3/10/2019 8:00:00 AM,True,True,90,86,94
3/11/2019 8:00:00 AM,True,True,80.5,80,81
3/12/2019 8:00:00 AM,True,True,31,34,28
3/13/2019 8:00:00 AM,True,True,85,80,90
