"","","file.avg"
"406","2019-03-28 08:18:00","4.44"
"407","2019-03-29 10:21:00",NA
"408","2019-03-30 12:05:00","4.64"
"409","2019-03-31 09:40:00",NA
"410","2019-04-01 08:13:00",NA
"411","2019-04-02 08:41:00","5.36"
"412","2019-04-03 07:13:00","5.36"
"413","2019-04-04 06:32:00",NA
"414","2019-04-04 10:15:00",NA
"415","2019-04-05 13:17:00",NA
"416","2019-04-06 12:04:00","4.99"
"417","2019-04-07 15:05:00",NA
"418","2019-04-08 14:08:00",NA
"419","2019-04-09 12:22:00","5.9"
"420","2019-04-10 13:24:00",NA
"421","2019-04-11 15:05:00","5.07"
"422","2019-04-12 08:23:00",NA
"423","2019-04-13 08:31:00","5.7"
"424","2019-04-14 15:08:00",NA
"425","2019-04-15 11:25:00",NA
"426","2019-04-16 10:17:00","4"
"427","2019-04-17 11:36:00",NA
"428","2019-04-18 06:43:00",NA
"429","2019-04-19 09:50:00",NA
"430","2019-04-20 12:06:00","5.03"
"431","2019-04-21 08:18:00",NA
"432","2019-04-22 14:21:00",NA
"433","2019-04-23 09:24:00","5.84"
"434","2019-04-24 17:11:00",NA
"435","2019-04-25 11:13:00","6.05"
"436","2019-04-26 15:03:00",NA
"437","2019-04-27 11:11:00","6.05"
"438","2019-04-28 12:34:00",NA
"439","2019-04-29 13:19:00",NA
"440","2019-04-30 11:04:00","5.64"
"441","2019-05-01 11:22:00",NA
"442","2019-05-02 11:26:00","5.24"
"443","2019-05-03 09:20:00",NA
"444","2019-05-04 14:59:00","6"
"445","2019-05-05 12:13:00",NA
"446","2019-05-06 09:15:00",NA
"447","2019-05-07 14:12:00","5.69"
"448","2019-05-08 11:11:00",NA
"449","2019-05-09 12:37:00","5.58"
"450","2019-05-10 13:21:00",NA
"451","2019-05-11 08:29:00","6.03"
"452","2019-05-12 13:20:00",NA
"453","2019-05-13 08:31:00",NA
"454","2019-05-14 13:25:00","4.79"
"455","2019-05-15 15:04:00",NA
"456","2019-05-16 10:23:00","5.21"
"457","2019-05-17 11:33:00",NA
"458","2019-05-18 08:28:00","6.17"
"459","2019-05-19 12:06:00",NA
"460","2019-05-20 14:17:00",NA
"461","2019-05-21 10:16:00","6.11"
"462","2019-05-22 13:29:00",NA
"463","2019-05-23 11:16:00","5.29"
"464","2019-05-24 14:41:00",NA
"465","2019-05-25 14:04:00","5.34"
"466","2019-05-26 12:05:00",NA
"467","2019-05-27 13:38:00",NA
"468","2019-05-28 12:08:00","5.31"
"469","2019-05-29 08:10:00",NA
"470","2019-05-30 14:05:00","5.07"
"471","2019-05-31 08:36:00",NA
"472","2019-06-01 13:39:00","5.64"
"473","2019-06-02 12:20:00",NA
"474","2019-06-03 14:16:00",NA
"475","2019-06-04 10:27:00","5.46"
"476","2019-06-05 07:34:00","5.46"
"477","2019-06-06 07:17:00",NA
"478","2019-06-07 06:30:00","5.39"
"479","2019-06-08 14:16:00","5.13"
"480","2019-06-09 12:16:00",NA
"481","2019-06-10 10:10:00",NA
"482","2019-06-11 14:22:00",NA
"483","2019-06-12 15:06:00",NA
"484","2019-06-13 08:13:00",NA
"485","2019-06-14 12:05:00",NA
"486","2019-06-15 09:01:00",NA
"487","2019-06-16 09:18:00",NA
"488","2019-06-17 10:12:00",NA
"489","2019-06-18 08:39:00",NA
"490","2019-06-19 06:35:00",NA
"491","2019-06-20 14:48:00",NA
"492","2019-06-21 13:36:00",NA
"493","2019-06-22 12:05:00","5.28"
"494","2019-06-23 06:34:00","5.28"
"495","2019-06-24 07:38:00",NA
"496","2019-06-24 10:53:00",NA
"497","2019-06-24 12:57:00",NA
"498","2019-06-25 07:47:00",NA
"499","2019-06-25 10:59:00","5.39"
"500","2019-06-25 13:02:00","5.39"
"501","2019-06-26 07:20:00","5.39"
"502","2019-06-27 07:38:00",NA
"503","2019-06-27 11:04:00","4.57"
"504","2019-06-27 13:18:00","4.57"
"505","2019-06-28 07:27:00","4.57"
"506","2019-06-28 11:08:00",NA
"507","2019-06-28 13:15:00",NA
"508","2019-06-29 15:06:00","4.87"
"509","2019-06-30 07:23:00","4.87"
"510","2019-07-01 07:42:00",NA
"511","2019-07-01 11:02:00",NA
"512","2019-07-01 13:03:00",NA
"513","2019-07-02 07:22:00",NA
"514","2019-07-02 11:07:00","5.02"
"515","2019-07-02 13:00:00","5.02"
"516","2019-07-03 10:18:00",NA
"517","2019-07-04 11:25:00","5.1"
"518","2019-07-05 07:07:00","5.1"
"519","2019-07-06 14:06:00","5.4"
"520","2019-07-07 09:25:00",NA
"521","2019-07-08 07:35:00",NA
"522","2019-07-08 11:03:00",NA
"523","2019-07-08 13:08:00",NA
"524","2019-07-09 14:06:00",NA
"525","2019-07-10 07:33:00",NA
"526","2019-07-10 11:08:00",NA
"527","2019-07-10 12:57:00",NA
"528","2019-07-11 07:32:00",NA
"529","2019-07-11 10:58:00",NA
"530","2019-07-11 12:56:00",NA
"531","2019-07-12 07:29:00",NA
"532","2019-07-12 11:00:00",NA
"533","2019-07-12 13:00:00",NA
"534","2019-07-13 10:21:00",NA
"535","2019-07-14 07:35:00",NA
"536","2019-07-14 11:05:00",NA
"537","2019-07-14 13:04:00",NA
"538","2019-07-15 07:35:00",NA
"539","2019-07-15 11:03:00",NA
"540","2019-07-15 13:00:00",NA
"541","2019-07-16 06:44:00",NA
"542","2019-07-17 07:09:00",NA
"543","2019-07-18 07:29:00",NA
"544","2019-07-18 11:06:00",NA
"545","2019-07-18 13:02:00",NA
"546","2019-07-19 13:15:00",NA
"547","2019-07-20 07:28:00",NA
"548","2019-07-20 11:09:00",NA
"549","2019-07-20 13:05:00",NA
"550","2019-07-21 06:43:00",NA
"551","2019-07-22 07:27:00",NA
"552","2019-07-22 10:57:00",NA
"553","2019-07-22 12:59:00",NA
"554","2019-07-23 07:27:00",NA
"555","2019-07-23 10:55:00","4.94"
"556","2019-07-23 12:54:00","4.94"
"557","2019-07-24 08:05:00",NA
"558","2019-07-24 10:54:00",NA
"559","2019-07-24 12:57:00",NA
